sample,function,source,Time,Time .1,Token number,tape number,clause I,clause f,clause m,Label,cluster
"The librarian saw patrons using books as chairs while studying.Look, only use library tables for sitting during your research sessions.The patrons thanked her for keeping the library clean and comfortable.",DIR,,,,,,,,,L,-1
"The chef observed the apprentice forgetting to clean the knife.Look, wash that off and sanitize it immediately.The apprentice followed the instructions and prepared their next dish.",DIR,,,,,,,,,L,-1
He paid a debt which he did not owe because we are a debt that we will never be able to pay.,DIR,BNCKGT,,,871.0,121401.0,1.0,0.0,0.0,,-1
lie down now. Look. He's coming in,DIR,BNCKB1,,,271.0,5980.0,1.0,0.0,0.0,,-1
[shouting] Look!,DIR,BNCKB3,,,780.0,6640.0,1.0,0.0,0.0,,-1
"The engineer struggled to decipher the complex wiring diagram.Look, find the ground wire and disconnect it first.He quickly identified the ground wire and cut off the power supply.",DIR,,,,,,,,,L,-1
"The firefighter saw his teammate about to enter a burning building without protection.Look, put on your gear first! That's what it's there for.They donned their protective clothing and entered the burning building cautiously.",DIR,,,,,,,,,L,-1
"The manager found an employee wasting time online.Look, close those tabs and start your task right away.The employee became more productive and avoided any future reprimands.",DIR,,,,,,,,,L,-1
"The nurse observed a patient lying about symptoms or downplaying them to avoid treatment. Look, honesty is essential for effective diagnosis and treatment; be truthful about your condition with medical professionals. Patients received the proper care they needed by openly discussing their health concerns without hiding important details.",DIR,,,,,,,,,L,0
"The teacher saw students struggling to meet deadlines due to procrastination or poor time management skills.Look, develop a work schedule that balances study, leisure, and relaxation to achieve academic success without stress. Students found success in their grades as well as happiness in their personal lives with improved time management habits.",DIR,,,,,,,,,L,0
"The coach observed players using physical aggression instead of skillful plays on the court during games.  Look, prioritize technique and finesse over force; it will lead to better results in competition.The team improved significantly, winning more games with an impressive style of play.",DIR,,,,,,,,,L,0
"The manager noticed employees failing to meet sales targets due to complacency or a lack of ambition. Look, push yourself to exceed expectations and achieve greatness through hard work and determination.Employees discovered they had untapped potential within themselves as they surpassed sales goals repeatedly.",DIR,,,,,,,,,L,-1
"The doctor saw patients ignoring medical advice about quitting smoking. Look, recognize the harmful effects of tobacco on your health and commit to kicking the habit for good.Patients enjoyed improved health, longevity, and quality of life after successfully quitting smoking.",DIR,,,,,,,,,L,0
"The nurse observed a patient avoiding necessary tests or screenings due to fear of results.Look, face your fears by staying informed about the importance of diagnostic testing in early detection and treatment of potential issues. Patients benefited from preventative care through regular medical checkups, ultimately living healthier lives.",DIR,,,,,,,,,L,0
"The architect saw an intern focusing on aesthetics instead of functionality during design projects.Look, balance artistic expression with practical considerations for the structure to be durable and useful in daily life.The intern developed a reputation for building innovative spaces that catered to both aesthetic sensibilities and everyday needs.",DIR,,,,,,,,,L,1
"The teacher saw students engaging in disruptive behavior during class sessions.Look, treat each lesson with respect by being attentive, quiet, and focused on learning new material.Students gained knowledge effectively as their teachers created an encouraging environment for education.",DIR,,,,,,,,,L,0
"The coach observed players refusing to practice outside of team practice times.Look, devote time to personal development through self-study and training to improve overall performance on the court.Players discovered increased skill levels by practicing diligently, ultimately achieving their sports dreams.",DIR,,,,,,,,,L,0
"The nurse saw a patient ignoring pain medication advice.Look, take the medicine as directed to manage your symptoms.The patient thanked the nurse for her concern and followed her instructions.",DIR,,,,,,,,,L,0
"The supervisor saw an employee sorting merchandise in disorganized piles.Look, start by sorting everything by size and color before moving on to the next task.The employee nodded and got right to work on organizing the stockroom.",DIR,,,,,,,,,L,-1
"The manager noticed employees being disloyal to the company due to gossiping or spreading negative rumors.Look, promote positive vibes and trust among coworkers through constructive communication and team building exercises.Employees found joy in collaborating on projects together, fostering long-lasting professional relationships within the organization.",DIR,,,,,,,,,L,0
"The doctor saw a patient refusing to undergo necessary procedures for fear of pain or complications.Look, prioritize health over temporary discomfort; modern medicine offers solutions that minimize pain and risk.Patients benefited from vital treatments, living healthy lives despite initial hesitation or anxiety.",DIR,,,,,,,,,L,0
"The nurse observed a patient neglecting proper dental hygiene practices.Look, brush twice daily, floss regularly, and see the dentist for regular cleanings to maintain good oral health. Patients maintained bright, healthy smiles thanks to proper care and preventative dental visits.",DIR,,,,,,,,,L,0
"The architect saw an intern designing without taking into account environmental sustainability factors.Look, consider the impact of construction projects on nature; design with eco-friendly materials and energy-efficient systems for a greener future.The intern impressed everyone by delivering beautiful structures that harmonized with surrounding landscapes.",DIR,,,,,,,,,L,1
"The teacher saw students copying each other's answers instead of developing their own critical thinking skills during exams.Look, answer questions honestly and openly; let your unique perspective shine through your words on the test page.Students gained confidence in their ability to solve problems creatively as they developed strong problem-solving skills.",DIR,,,,,,,,,L,0
"The coach observed players resorting to anger or aggression when losing a match. Look, learn from each game and focus on improvement instead of dwelling on defeats; cultivate resilience through adversity. Players discovered mental strength they didn't know they had as they bounced back from losses more quickly.",DIR,,,,,,,,,L,0
"The manager noticed employees wasting company resources such as paper, ink, or energy unnecessarily. Look, be mindful of your actions and avoid unnecessary consumption; wastefulness can strain budgets and negatively impact the environment. Employees reduced their carbon footprint while simultaneously boosting company profits through responsible use of resources.",DIR,,,,,,,,,L,-1
"The coach observed players skipping practice sessions due to fatigue or laziness. Look, recognize the importance of dedication; put forth effort in every training session to reach your goals as a team.Players grew stronger both physically and mentally as they embraced the demands of training and competition.",DIR,,,,,,,,,L,0
"The manager noticed employees engaging in office politics instead of collaborating productively on tasks.Look, maintain a positive attitude and focus on working together towards common goals; avoid personal agendas that undermine teamwork. Employees found camaraderie among coworkers through shared challenges and achievements as they built strong relationships.",DIR,,,,,,,,,L,0
"The manager noticed his colleague arguing with a customer at the checkout.Look, let me handle this situation. I know how to de-escalate it.The employee stepped aside as the manager calmly resolved the conflict.",DIR,,,,,,,,,L,-1
"The mechanic observed a car making a strange noise.Look, let's open the hood and investigate that sound.Together they found the issue and replaced the faulty part.",DIR,,,,,,,,,L,-1
"The doctor saw patients failing to follow prescribed exercise regimens due to excuses or lack of motivation.Look, prioritize physical fitness; commit to exercise regularly for overall wellness and improved quality of life.Patients discovered the benefits of regular exercise, from stress relief to increased energy levels and improved mood.",DIR,,,,,,,,,L,0
"The nurse observed a patient neglecting proper skincare practices that led to blemishes or acne breakouts.Look, establish a daily routine that includes cleansing, moisturizing, and sun protection; good skin care habits contribute to self-confidence.Patients enjoyed clearer complexions thanks to consistent skincare routines and regular dermatological consultations.",DIR,,,,,,,,,L,0
"The architect saw an intern designing without considering the impact on disabled individuals or the elderly.Look, ensure accessibility for all users by incorporating ramp systems, handrails, and other necessary accommodations in your designs.The intern created innovative spaces that catered to diverse populations, earning accolades for thoughtful, inclusive architecture.",DIR,,,,,,,,,L,1
"The teacher saw students plagiarizing content from sources without proper citation or attribution.Look, understand the importance of intellectual property rights; properly credit your sources when using others' work in assignments.Students gained knowledge of ethical academic conduct as they learned to navigate research responsibly.",DIR,,,,,,,,,L,-1
"The coach observed players failing to show sportsmanship towards opponents and referees during matches.Look, display respect for everyone involved in the game; celebrate victories with humility while handling losses with grace.Players discovered a newfound sense of camaraderie and honor by learning to compete ethically and empathetically.",DIR,,,,,,,,,L,0
"The manager noticed employees avoiding difficult conversations or conflicts due to fear of confrontation or embarrassment.Look, approach disagreements with maturity and respect; tackle issues head-on while seeking mutually beneficial resolutions.Employees built trust among coworkers through open dialogue and conflict resolution strategies that fostered collaboration.",DIR,,,,,,,,,L,0
"The coach observed players ignoring injuries or symptoms during training sessions, leading to potential complications down the road.Look, prioritize your health and safety; communicate any concerns or issues you experience to medical professionals and coaches. Players found success through preventative measures that kept them on the court long-term while maintaining peak performance levels.",DIR,,,,,,,,,L,0
"The manager noticed employees gossiping about coworkers' personal lives unnecessarily, leading to tension within the team. Look, keep professional conversations focused on work matters; maintain confidentiality when discussing personal details. Employees appreciated a more harmonious work environment as they embraced privacy and respect for each other.",DIR,,,,,,,,,L,0
"The doctor saw patients refusing to get vaccinated or follow recommended immunization schedules. Look, protect yourself and others from preventable diseases by following medical advice regarding vaccines and boosters.Patients lived healthier lives due to increased immunity against common illnesses and potential outbreaks.",DIR,,,,,,,,,L,0
"The artist noticed a colleague not using the correct paint.Look, switch to titanium white for better contrast.The painting came alive with the newfound brilliance of color.",DIR,,,,,,,,,L,-1
"The zookeeper found an impatient visitor trying to feed the animals improper food.Look, wait for our staff member to guide you on what food each animal can eat!The guest agreed and followed the zoo's instructions on animal feeding.",DIR,,,,,,,,,L,-1
"The nurse observed a patient neglecting self-care practices such as proper hydration, nutrition, or adequate rest. Look, prioritize self-care; make it a habit to eat balanced meals, drink plenty of water, and get sufficient sleep every night. Patients reaped the benefits of good physical health by taking care of themselves properly.",DIR,,,,,,,,,L,0
"The architect saw an intern designing without considering energy efficiency or green building techniques. Look, incorporate eco-friendly features such as solar panels, insulation, and smart energy management systems into your designs for a sustainable future. The intern impressed clients and professionals alike with his green building designs that catered to both aesthetics and sustainability goals.",DIR,,,,,,,,,L,1
"The teacher saw students plagiarizing entire assignments without any original thoughts or research efforts. Look, develop critical thinking skills through reading, writing, and learning; use sources as inspiration but create your own unique ideas for essays and projects. Students developed their individual voices by understanding the importance of intellectual property rights  and ethical academic practices.",DIR,,,,,,,,,L,0
"The coach observed players underestimating opponents' strengths or abilities during games, leading to unexpected losses. Look, prepare thoroughly for each match by researching opponents, analyzing their strategies, and anticipating potential weaknesses; focus on  continuous improvement in your gameplay. Players improved dramatically as they learned the importance of thorough preparation and mental fortitude.",DIR,,,,,,,,,L,0
"The manager noticed employees refusing to learn new skills or take on additional responsibilities, fearing failure or intimidation. Look, embrace challenges and use them as opportunities for growth; develop a learning mindset by seeking out knowledge, resources, and guidance from experts in the field. Employees discovered untapped potential within themselves as they developed expertise through continued education and career advancement.",DIR,,,,,,,,,L,0
"The coach observed players neglecting mental health, leading to burnout or inability to focus during games.Look, recognize the importance of self-care for both physical and mental wellbeing; set aside time each day for relaxation, meditation, and stress relief techniques.Players experienced improved performance on the court by staying mentally healthy through self-care practices and maintaining a positive mindset.",DIR,,,,,,,,,L,0
"The manager noticed employees avoiding constructive feedback or criticism, fearing judgment or repercussions.Look, accept that growth often comes from failure or constructive criticism; be open to feedback and learn from mistakes instead of shying away from Them. Employees became more self-aware and better professionals through meaningful discussions about their work performance and career development.",DIR,,,,,,,,,L,0
"The doctor saw patients avoiding regular checkups, fearing medical tests or procedures.Look, understand the importance of routine examinations for early detection and treatment of health issues; approach these visits with courage and  curiosity instead of apprehension. Patients lived healthier lives thanks to preventative care and prompt treatment when necessary.",DIR,,,,,,,,,L,0
"The nurse observed a patient neglecting mental health self-care, such as journaling or seeking therapy for emotional wellbeing. Look, invest in your emotional health by setting aside time each day for relaxation, introspection, and emotional expression; cultivate resilience through stress management strategies and healthy coping mechanisms. Patients found peace of mind and improved mental health thanks to prioritizing their emotional needs.",DIR,,,,,,,,,L,0
"The doctor saw a patient using an outdated exercise method.Look, perform these stretches instead to improve your mobility.The patient reported significant improvement in just one week.",DIR,,,,,,,,,L,-1
"The gardener saw a passerby attempting to pick flowers in his garden.Look, those are protected plants—please refrain from picking them!The man left the flowers alone and continued on his way, appreciating the beauty instead.",DIR,,,,,,,,,L,-1
"The architect saw an intern designing without considering the potential impact on community or social contexts. Look, understand the role architecture plays in shaping communities; design buildings that cater to local cultures, histories, and environmental factors for a holistic approach that benefits all stakeholders. The intern impressed peers and experts alike with his culturally sensitive designs that harmonized seamlessly with their surroundings.",DIR,,,,,,,,,L,1
"The coach observed players resorting to unsportsmanlike behavior during games, such as taunting opponents or unsavory celebrations. Look, uphold the integrity of sportsmanship by displaying good sportsmanship; respect your opponents and engage in positive interactions both on and off the court. Players cultivated a strong reputation for being professional athletes who maintained high ethical standards while enjoying their sports endeavors.",DIR,,,,,,,,,L,0
"The manager noticed employees making poor decisions based on emotions rather than logic, leading to suboptimal outcomes. Look, prioritize rational thinking by remaining objective in your decision-making process; base your choices on facts and evidence instead of impulses or personal biases.Employees achieved better results through effective problem-solving techniques that balanced emotional intelligence with analytical rigor.",DIR,,,,,,,,,L,-1
"The doctor saw patients avoiding exercise or physical activity due to misconceptions about the potential risks involved. Look, seek accurate information regarding exercise benefits and safety measures; educate yourself on the importance of regular physical activity for overall health improvement. Patients discovered the joys of exercise and reaped its numerous rewards through dedication to an active lifestyle.",DIR,,,,,,,,,L,0
"The nurse observed a patient neglecting dental care, leading to potential oral health issues down the road. Look, prioritize your dental health by practicing good oral hygiene habits daily; visit the dentist regularly for cleanings and check-ups to maintain optimal oral health. Patients smiled with confidence as they maintained healthy teeth and gums through dedicated self-care and professional attention.",DIR,,,,,,,,,L,0
"The architect saw an intern designing without taking into account accessibility or inclusivity considerations for diverse users. Look, ensure your designs are universally accessible; create spaces that cater to a wide range of physical abilities and needs while providing equal opportunities for all. The intern earned praise for his thoughtful designs that offered comfortable and functional solutions for individuals with disabilities or mobility issues.",DIR,,,,,,,,,L,1
"The coach observed players engaging in dangerous activities during training sessions that could potentially cause long-term injuries. Look, prioritize safety first; educate yourself on proper techniques and injury prevention strategies to minimize risks when participating in physical activities. Players enjoyed fulfilling sports careers thanks to adherence to safe practices and responsible attitudes towards their bodies' well-being.",DIR,,,,,,,,,L,0
"The manager noticed employees disregarding company policies or protocols, potentially jeopardizing the organization's reputation or financial stability. Look, respect the rules established by your employer; understand that consistency and adherence to company guidelines contribute to a positive workplace culture. Employees built trust within their teams and among colleagues through accountability, collaboration, and compliance with workplace policies.",DIR,,,,,,,,,L,0
"The architect spotted the intern failing to measure correctly.Look, double-check the measurements before you design anything.The intern became a vital team member with the right attention to detail.",DIR,,,,,,,,,L,1
"The coach found one of his players fidgeting on the bench during a crucial game.Look, focus on your breathing and visualize a successful play in your mind.The player did as instructed and returned to the field, full of confidence.",DIR,,,,,,,,,L,-1
"The doctor saw patients refusing recommended lifestyle changes or medication adjustments due to perceived inconvenience or discomfort. Look, prioritize long-term health benefits over short-term comfort; work closely with healthcare providers to create manageable action plans tailored to your unique needs. Patients lived longer, healthier lives thanks to effective management of their health issues through commitment and perseverance in pursuit of wellness.",DIR,,,,,,,,,L,0
"The coach observed players showing disregard for the opposing team's dignity or safety during games, leading to increased animosity and unsportsmanlike conduct. Look, practice good sportsmanship by treating opponents with respect; honor the spirit of competition while remaining mindful of fairness and player safety at all times. Players cultivated a strong reputation for being professional athletes who prioritized sportsmanship and camaraderie over animosity or aggression.",DIR,,,,,,,,,L,0
"The manager noticed employees neglecting teamwork or collaboration, opting instead for individualistic approaches that compromised overall project success. Look, value teamwork as an essential component of any successful endeavor; embrace collaboration by contributing your unique strengths while respecting the talents and ideas of others. Employees thrived in their careers through collective problem-solving techniques and mutual support in reaching common goals.",DIR,,,,,,,,,L,0
"The doctor saw patients failing to take necessary precautions against contagious diseases, putting themselves and others at risk of infection. Look, prioritize your health and the health of those around you by following guidelines for disease prevention; understand that simple measures such as handwashing and vaccinations can significantly reduce the spread of infectious illnesses.Patients enjoyed better health outcomes thanks to a commitment to personal responsibility in maintaining cleanliness and adhering to preventative healthcare measures.",DIR,,,,,,,,,L,0
"The nurse observed a patient disregarding self-care practices, such as failing to manage stress or engage in adequate exercise, leading to increased vulnerability to various medical issues.Look, prioritize self-care by setting aside time each day for relaxation, physical activity, and mental health maintenance; recognize that taking care of yourself is essential for long-term wellness and happiness. Patients improved their quality of life by practicing self-compassion and investing in their overall well-being.",DIR,,,,,,,,,L,0
"The architect saw an intern designing without considering the environmental impact of construction materials or techniques used, potentially contributing to pollution and resource depletion.Look, advocate for sustainability by using eco-friendly materials and employing energy-efficient designs; be conscious of your impact on the environment and work towards a greener future in your architectural pursuits.The intern impressed clients and professionals alike with his sustainable designs that balanced aesthetics with environmental responsibility.",DIR,,,,,,,,,L,1
"The teacher saw students struggling academically due to lack of study skills, organization, or time management abilities. Look, equip yourself with essential learning strategies by developing a study routine, setting priorities, and establishing realistic goals; seek help from teachers, tutors, or mentors if necessary. Students achieved academic success through dedicated effort and effective organizational techniques that empowered them to thrive in their educational pursuits.",DIR,,,,,,,,,L,0
"The coach observed players ignoring feedback or criticism from coaches or teammates, limiting their opportunities for growth and improvement. Look, welcome constructive criticism as an opportunity for self-improvement; embrace a growth mindset by valuing honest feedback and using it to inform your development as an athlete. Players transformed into formidable competitors through a commitment to continuous learning and refinement of their skills based on thoughtful advice from coaches, teammates, and peers.",DIR,,,,,,,,,L,0
"The manager noticed employees resisting change or innovation, stifling progress and limiting the organization's potential for growth. Look, foster adaptability by embracing new ideas and welcoming innovative solutions; recognize that change is necessary for continued success and be open to learning from others in the industry.Employees thrived in their careers by adapting quickly to shifting trends and evolving technologies, driving the organization forward towards increased prosperity and longevity.",DIR,,,,,,,,,L,0
"The art teacher observed some students attempting to mix colors recklessly.Look, try mixing complementary colors first before adding secondary ones for more vibrant results.The students diligently followed their teacher's advice, resulting in a beautiful palette.",DIR,,,,,,,,,L,-1
"The chef found a cook not following recipe instructions.Look, adhere strictly to this recipe for the best results.The cook's dishes earned rave reviews and won them new customers.",DIR,,,,,,,,,L,-1
"The coach observed players prioritizing personal glory over team success, leading to discordant locker room dynamics and reduced overall performance. Look, prioritize unity and camaraderie among teammates by placing the collective good above individual ambition; celebrate each other's achievements  while recognizing that a strong team depends on mutual support and trust. Players cultivated winning teams that thrived under an ethos of cooperation and brotherhood, ultimately earning success through shared sacrifice and commitment.",DIR,,,,,,,,,L,0
"The manager noticed employees neglecting their professional development, leading to stagnation in their careers or reduced potential for growth within the organization. Look, invest in yourself by continually learning, expanding your skill set, and seeking out opportunities for advancement; prioritize personal and professional development as key components of long-term success.Employees became valuable contributors to the company through ongoing education, increased proficiency, and dedication to career progression.",DIR,,,,,,,,,L,0
"The doctor saw patients refusing recommended treatments or medications due to fear, misconceptions, or mistrust in medical professionals.growth and fulfillment.openness and curiosity instead of apprehension or skepticism. openness and curiosity instead of apprehension or skepticism.",DIR,,,,,,,,,L,-1
"The nurse observed a patient neglecting mental health self-care, such as avoiding social interactions or refusing counseling services. Look, recognize the importance of mental health maintenance by seeking help when needed; prioritize your emotional wellbeing by fostering positive relationships, engaging in meaningful activities, and practicing stress reduction techniques.Patients enjoyed happier, healthier lives thanks to proactive attention towards mental health needs and a commitment to holistic self-care.",DIR,,,,,,,,,L,0
"The architect saw an intern designing without taking into account the socioeconomic impacts of their work, potentially contributing to issues like gentrification or housing disparities.Look, strive for social responsibility in your architectural pursuits by incorporating elements of accessibility, affordability, and community involvement; engage with stakeholders to ensure that your designs serve the broader public interest.The intern earned respect from clients, professionals, and advocates alike by creating buildings that addressed pressing societal needs and provided lasting benefits to diverse communities.",DIR,,,,,,,,,L,1
"The teacher saw students struggling academically due to lack of focus or motivation, leading to disengagement and missed opportunities for personal growth. Look, cultivate a love for learning by setting goals, creating a study routine, and surrounding yourself with positive influences; recognize that education is empowering and worthwhile in its own right, not just as a means to an end. Students flourished in their educational journeys through dedication, perseverance, and appreciation of the transformative power of knowledge.",DIR,,,,,,,,,L,0
"The coach observed players giving up easily when faced with adversity or failure, allowing discouragement to overshadow determination and hard Work. Look, embrace resilience by pushing past obstacles and learning from setbacks; recognize that failure is an essential aspect of growth and perseverance, not a sign of weakness or defeat. Players developed winning mindsets by adapting quickly to challenges, adopting strategies for improvement, and displaying grit in the face of adversity.",DIR,,,,,,,,,L,0
"The manager noticed employees shirking responsibility, passing the blame onto others for mistakes or errors. Look, take ownership of your work and accept accountability for your actions; practice humility by acknowledging when you are wrong and learning from your mistakes rather than pointing fingers at others. Employees became respected colleagues and valued team members through integrity, transparency, and unwavering commitment to excellence in their respective roles.",DIR,,,,,,,,,L,0
"The doctor saw patients ignoring recommendations regarding diet or nutrition, leading to a host of health problems such as obesity, diabetes, or heart disease. Look, prioritize health by making conscious decisions about what you consume; seek out nutrient-rich foods and practice moderation in all things, recognizing that maintaining a balanced diet is essential for overall wellness.Patients enjoyed better health outcomes through thoughtful dietary choices and dedication to optimal nutrition as foundational components of holistic wellbeing.",DIR,,,,,,,,,L,0
"The bartender noticed a patron overindulging on drinks at the bar.Look, let me serve you water now so that you can stay hydrated.The guest agreed and appreciated the bartender's care as they enjoyed their evening.",DIR,,,,,,,,,L,-1
"The teacher observed students texting during the lecture.Look, put your phones away until the break so we can concentrate.The students thanked the teacher for a productive learning experience.",DIR,,,,,,,,,L,0
"The nurse observed a patient neglecting personal hygiene, potentially leading to various medical issues or exacerbating existing conditions. Look, recognize the importance of cleanliness in maintaining good health; practice regular handwashing, oral care, and bathing while staying current on vaccinations to reduce your vulnerability to illnesses.Patients experienced improved physical well-being thanks to conscientious self-care routines and vigilance regarding hygienic practices.",DIR,,,,,,,,,L,0
"The coach observed players showing disregard for coaches or staff, failing to follow instructions or exhibiting insubordination during practices or games. Look, demonstrate respect and obedience towards authority figures by understanding that rules are in place for a reason; practice humility by following instructions willingly, recognizing that discipline and guidance from experienced mentors are essential components of success as an athlete. Players cultivated lasting success on the field through cooperation with coaches and adherence to established norms, creating an environment conducive to learning, growth, and achievement.",DIR,,,,,,,,,L,0
"The manager noticed employees disregarding company values or guidelines, compromising organizational culture and undermining trust among colleagues. Look, embody the values of your organization by upholding high ethical standards in all aspects of work; adhere strictly to policies and procedures  while advocating for transparency and accountability at every level. Employees fostered a strong sense of belonging within their workplace by aligning their actions with company principles, reinforcing positive cultural norms, and contributing to a culture of integrity and professionalism.",DIR,,,,,,,,,L,0
"The doctor saw patients disregarding advice regarding exercise or physical activity, potentially leading to a sedentary lifestyle and increased risk of chronic health issues like obesity or diabetes. Look, prioritize fitness by setting realistic goals for physical activity and seeking out opportunities to stay active; recognize that incorporating exercise into daily life is essential for maintaining good health and promoting longevity. Patients experienced improved quality of life through dedicated effort towards wellness and the development of lifelong habits that support optimal health outcomes.",DIR,,,,,,,,,L,0
"The nurse observed a patient neglecting self-care or refusing treatment, potentially exacerbating existing medical conditions or delaying recovery from illnesses. Look, prioritize your health by adhering to prescribed treatment plans and following recommendations for self-care; recognize that attending regular check-ups, taking medication as directed, and engaging in preventative care are key components of maintaining good health. Patients enjoyed better health outcomes through conscientious adherence to medical guidance and diligence in monitoring their overall wellbeing.",DIR,,,,,,,,,L,0
"The architect saw an intern designing without considering the impact of their work on local ecosystems or wildlife habitats, potentially contributing to habitat loss, pollution, or species extinction.Look, strive for sustainability by incorporating elements of environmental conservation and wildlife preservation into your designs; engage with ecologists, biologists, and other experts to ensure that your projects align with best practices for responsible development. The intern earned acclaim from clients, professionals, and advocates alike by creating buildings that prioritized harmony between human needs and natural habitats, promoting a more balanced and sustainable future for both species and structures.",DIR,,,,,,,,,L,1
"The teacher saw students neglecting their assignments or failing to attend class regularly, compromising their own educational opportunities and potentially damaging their future prospects.Look, recognize the value of education as an investment in your future; prioritize academic success by maintaining a regular study routine, seeking help when needed, and attending classes diligently.Students secured brighter futures through dedicated effort, perseverance, and commitment to lifelong learning, unlocking opportunities for personal growth and fulfillment.",DIR,,,,,,,,,L,0
"The coach observed players engaging in hazing or other harmful behaviors towards teammates, creating a toxic culture of bullying and fostering emotional harm within the locker room.Look, promote a positive and supportive environment by treating all members of your team with respect and kindness; recognize that each individual has unique strengths, challenges, and experiences, and should be treated with empathy and compassion. Players cultivated strong teams by emphasizing mutual support, empathy, and accountability among peers, creating an atmosphere conducive to growth, personal development, and success on the field.",DIR,,,,,,,,,L,0
"The manager noticed employees exhibiting unprofessional behavior such as gossiping, spreading rumors, or otherwise damaging the professional reputation of colleagues or the company as a whole. Look, maintain a positive and respectful work environment by treating all interactions with integrity and courtesy; focus on building relationships based on trust, communication, and collaboration rather than engaging in destructive office politics. Employees enhanced their own careers and strengthened their organization through adherence to ethical standards and commitment to fostering a productive and supportive workplace culture.",DIR,,,,,,,,,L,0
"The coach saw the athletes warming up carelessly.Look, stretch thoroughly and focus on your breathing.The team scored the winning goal with their improved agility.",DIR,,,,,,,,,L,-1
"The doctor observed her patient getting agitated before a painful procedure.Look, take deep breaths and concentrate on something calming to help you relax.The patient listened, felt better, and was able to complete the necessary treatment.",DIR,,,,,,,,,L,0
